Rk,Year,Tms,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A
53,1969,16,14.9,28.3,52.6,177.5,1.4,5.1,1.4,4.9,7,5.8,13.3,177.5,71.6,2.5,20.4,8.1,5.76,4.7
54,1968,16,13.8,26.8,51.6,168.5,1.4,5.1,1.5,5.5,7,5.6,13.6,168.5,68.7,2.4,19.4,8.3,5.77,4.5
55,1967,16,14.7,28.8,51,179.5,1.4,5,1.6,5.7,6.9,5.4,13.6,179.5,66.6,2.5,20.5,7.8,5.75,4.3
56,1966,15,15,29.1,51.6,178.3,1.3,4.6,1.5,5.2,6.9,5.5,13.4,178.3,67.4,2.8,22.8,8.8,5.59,4.3
57,1965,14,14.2,27.6,51.3,183.8,1.6,5.7,1.4,5.1,7.5,6.3,14.5,183.8,73.5,2.7,22,8.8,6.08,5
58,1964,14,14.3,27.7,51.4,173.6,1.4,5.1,1.3,4.8,7.2,6,13.9,173.6,71.7,3.1,24.9,10,5.64,4.6
59,1963,14,14.2,27.6,51.5,185.7,1.5,5.6,1.5,5.6,7.5,6.1,14.6,185.7,71.7,2.6,22.1,8.5,6.15,4.9
60,1962,14,14.6,27.3,53.3,193.8,1.5,5.6,1.7,6.1,7.9,6.2,14.7,193.8,72.6,2.6,20.8,8.7,6.48,5
61,1961,14,14.1,27,52.1,180.5,1.5,5.4,1.7,6.3,7.5,5.7,14.3,180.5,68.5,2.7,21.5,9.1,6.08,4.5
62,1960,13,13.2,26.4,50.2,170.6,1.4,5.4,1.8,6.7,7.2,5.3,14.4,170.6,64.2,2.5,20.1,8.7,5.91,4.2
63,1959,12,12.9,25.8,50,169.8,1.4,5.3,1.5,6,7.2,5.6,14.5,169.8,66.9,2.1,17.2,7.7,6.08,4.6
64,1958,12,13.6,27.4,49.4,180.4,1.5,5.3,1.7,6.2,7.2,5.5,14.5,180.4,65.3,2,16.1,6.8,6.12,4.5
65,1957,12,11.7,23.2,50.5,153.4,1.2,5.1,1.6,6.9,7.4,5.3,14.7,153.4,63.2,2.3,18.4,9,6.02,4.1
66,1956,12,11.5,22.8,50.5,147.6,1.1,4.9,1.7,7.3,7.1,4.8,14,147.6,59.6,1.7,13.8,7.1,6.02,3.9
67,1955,12,12.7,26.5,47.9,159.8,1.3,4.7,1.8,6.8,6.6,4.5,13.8,159.8,57.1,2,15.8,6.9,5.61,3.7
68,1954,12,14.8,29.4,50.4,191.6,1.5,5,2,6.9,7.2,5.1,14.2,191.6,61.7,2.4,19.4,7.6,6.02,4.1
69,1953,12,14,29.6,47.3,173.8,1.3,4.4,2.1,7.2,6.5,4.2,13.8,173.8,53.6,2.4,19.4,7.6,5.42,3.3
70,1952,12,12.9,27.9,46.3,160,1.5,5.4,2.1,7.4,6.7,4.4,14.4,160,55.7,3.3,26,10.4,5.13,3.1
71,1951,12,12.6,27,46.6,162.7,1.4,5.2,2,7.4,6.8,4.5,14.6,162.7,55.6,2.6,21.2,8.9,5.5,3.4
72,1950,13,12.9,27.6,46.6,165.7,1.4,5.1,2.2,8,6.7,4.2,14.5,165.7,52.9,2.6,20.5,8.5,5.49,3.1
73,1949,10,12.7,27.3,46.6,161,1.4,5.1,2.1,7.5,6.5,4.2,14,161,53.9,2.2,17.6,7.5,5.46,3.3
74,1948,10,12.5,26,48.1,173.9,1.6,6.3,1.9,7.4,6.7,4.6,13.9,173.9,60,,,,,
75,1947,10,11.7,24.9,47,180.6,1.6,6.3,2.1,8.4,7.2,4.7,15.4,180.6,57.6,,,,,
76,1946,10,9.5,21.3,44.8,143.1,1.1,5.4,1.9,9.1,6.7,3.7,15,143.1,47.6,,,,,
77,1945,10,9.6,21.1,45.6,143.8,1.1,5.2,1.9,9.2,6.8,3.7,15,143.8,47.6,,,,,
78,1944,11,9.1,21.1,42.9,129.3,1.2,5.5,2.3,11.1,6.1,2.2,14.3,129.3,42.1,,,,,
79,1943,10,9.6,21.7,44.4,141.4,1.4,6.6,2.3,10.5,6.5,3.1,14.7,141.4,48.6,,,,,
80,1942,10,9,20.4,43.8,123.7,1,4.8,2,9.7,6.1,2.6,13.8,123.7,40.3,,,,,
81,1941,10,8.9,20.1,44.3,121.8,0.9,4.5,2,10,6.1,2.5,13.7,121.8,39.6,,,,,
82,1940,10,8.8,20.5,42.9,125.3,0.9,4.4,2,9.9,6.1,2.6,14.2,125.3,38.6,,,,,
83,1939,10,8.7,20.3,42.5,128.8,0.9,4.4,1.9,9.3,6.3,3,14.9,128.8,39.7,,,,,
84,1938,10,7.5,18.5,40.6,105.8,0.8,4.6,2,10.9,5.7,1.8,14.1,105.8,35.5,,,,,
85,1937,10,6.3,16.5,38.4,93,0.8,5,1.9,11.3,5.6,1.5,14.7,93,34.5,,,,,
86,1936,9,5.6,15.3,36.5,83,0.6,4,2,13,5.4,0.4,14.8,83,28.9,,,,,
87,1935,9,5.2,15.4,33.9,79.7,0.6,3.9,2.2,14.6,5.2,-0.6,15.3,79.7,25.4,,,,,
88,1934,11,4.2,13.4,31.4,59.3,0.5,3.5,1.7,12.8,4.4,-0.6,14.1,59.3,18.8,,,,,
89,1933,10,5.1,14.3,35.3,77.9,0.5,3.5,2.2,15.3,5.4,-0.7,15.4,77.9,26.3,,,,,
90,1932,8,3.9,10.9,35.6,55.2,0.4,4,1,9.4,5.1,1.7,14.2,55.2,27.2,,,,,
